Batch,Epoch,LR,MSE,RMSE
100,1,0.001,207573.0953125,455.5225860595703
100,1,0.001,205116.8859375,453.5780456542969
100,1,0.001,206197.16875,454.9016052246094
100,1,0.001,205035.9640625,452.99143371582034
